CGPA,TargetCompany,Skills,SkillMatchPct,PlacementProbability,PlacementStatus
9.1,Meta,"C#, TypeScript, PHP, Go, LLMs, JavaScript, WebSockets, React, System Design, Tailwind CSS, Serverless, GraphQL",71.43,80.2,High Chance
7.3,Accenture,"SQL, REST APIs, Docker, Elasticsearch, Node.js, Serverless, Agile, Java",60.0,56.3,Medium Chance
9.2,Meta,"TypeScript, Prompt Engineering, Next.js, Algorithms, JavaScript, React, System Design, Jenkins, GraphQL",85.71,82.5,High Chance
8.6,Salesforce,"DynamoDB, SQL, Algorithms, Ruby, Computer Vision, WebSockets, Elasticsearch, Pytest, Jenkins, Java",33.33,52.8,Medium Chance
7.2,Salesforce,"Prompt Engineering, Cassandra, MySQL, Cloud, Penetration Testing, Express.js, TensorFlow, System Design, Jenkins, Java",50.0,42.8,Low Chance
8.7,Accenture,"Transformers, NumPy, Event-Driven Architecture, AWS, Cloud, Swift, Problem Solving, Prometheus, Data Structures, Tailwind CSS, Grafana, Cassandra, Java",60.0,75.5,High Chance
9.7,Apple,"Redux, Transformers, LangChain, CI/CD, Problem Solving, Python, Angular, C++, Data Structures, Operating Systems, Swift",100.0,90.9,High Chance
9.3,Meta,"TypeScript, Algorithms, Design Patterns, Fine-Tuning, JavaScript, Python, React, System Design, GraphQL, Java",100.0,95.9,High Chance
7.0,Accenture,"Machine Learning, SQL, LLMs, Computer Vision, Python, Express.js, Cybersecurity, Redis, Jest, Java",40.0,47.1,Medium Chance
6.6,Uber,"Databricks, ASP.NET, Node.js, GitHub Actions, Jest, Express.js",0.0,16.7,Low Chance
5.9,Wipro,"GCP, Hugging Face, C++, React, CI/CD, Communication",20.0,24.3,Low Chance
5.9,OpenAI,"Ruby, Penetration Testing",0.0,5.0,Low Chance
7.6,Accenture,"Databricks, Cloud, Problem Solving, Serverless, Vector Databases, Agile",60.0,65.4,Medium Chance
5.9,Nvidia,"Redux, Next.js, Docker, MySQL, CUDA, Computer Vision, Python, Swift",42.86,24.5,Low Chance
7.8,OpenAI,"Distributed Systems, Transformers, Algorithms, LLMs, PostgreSQL, Python, Elasticsearch, System Design",71.43,46.1,Medium Chance
8.5,TCS,"Distributed Systems, TypeScript, SQL, Team Collaboration, Penetration Testing, Problem Solving, JavaScript, TensorFlow, Data Structures, Terraform, Linux, Serverless, Big Data, Java",100.0,85.2,High Chance
8.2,Meta,"TypeScript, Algorithms, Kotlin, Leadership, Fine-Tuning, JavaScript, Python, React, System Design, GraphQL, Deep Learning",100.0,85.9,High Chance
6.4,Accenture,"Unit Testing, Critical Thinking",0.0,16.1,Low Chance
8.3,TCS,"Ansible, REST APIs, Event-Driven Architecture, Algorithms, Team Collaboration, Penetration Testing, Neo4j, Computer Vision, JavaScript, Serverless, Appium, Redis, Pandas, Java",60.0,67.1,Medium Chance
5.2,Nvidia,"OAuth, OpenCV, JavaScript, JWT, AWS, TypeScript",0.0,6.1,Low Chance
9.7,Wipro,"Distributed Systems, Snowflake, SQL, Next.js, NumPy, Rust, Ruby, MySQL, PostgreSQL, Kafka, Python, Microservices, Grafana, Swift, Power BI, Java",60.0,80.7,High Chance
6.0,Adobe,"System Design, Event-Driven Architecture, AWS",0.0,9.0,Low Chance
7.5,Uber,"SQL, NumPy, Kotlin, Kafka, Power BI",14.29,28.5,Low Chance
5.2,Apple,"MySQL, GitHub Actions",0.0,5.0,Low Chance
7.0,Accenture,"SQL, Algorithms, Supabase, Fine-Tuning, Problem Solving, Angular, R, Java",60.0,55.6,Medium Chance
8.9,Accenture,"TypeScript, SQL, PHP, Communication, Cloud, Problem Solving, Critical Thinking, MongoDB, ETL, Serverless, Agile, Java",100.0,84.7,High Chance
6.5,Apple,"gRPC, Fine-Tuning, Problem Solving, Data Structures, Serverless, Pandas, Java",33.33,27.2,Low Chance
7.7,Apple,"Rust, CI/CD, Prisma, Data Structures, C++, Terraform, Agile",33.33,26.7,Low Chance
6.9,Meta,"Algorithms, Leadership, JavaScript, Express.js, Scrum, System Design, Linux, Django, GraphQL",57.14,39.2,Low Chance
7.2,Adobe,"REST APIs, PyTorch, Go, JavaScript, React, R, Jenkins, Appium",33.33,34.3,Low Chance
8.4,Infosys,"Azure, SQL, Communication, LangChain, Elasticsearch, Pytest, Grafana, Swift, Kubernetes, Big Data, Java",60.0,73.9,High Chance
7.5,Adobe,"Redis, Django",0.0,22.7,Low Chance
8.8,Amazon,"Machine Learning, SQL, Prompt Engineering, AWS, Rust, gRPC, Leadership, Python, Microservices, MongoDB, RAG, System Design, Java",85.71,88.3,High Chance
6.6,Nvidia,"Supabase, CUDA, C++, Cybersecurity, Deep Learning",42.86,30.0,Low Chance
8.1,Adobe,"Distributed Systems, JWT, Algorithms, JavaScript, Django, System Design, Jenkins",33.33,49.1,Medium Chance
5.3,Accenture,"Neo4j, GraphQL, Machine Learning, Appium",0.0,13.4,Low Chance
7.6,Infosys,"OAuth, Algorithms, PyTorch, Ruby, LangChain, Neo4j, Python, ETL, Agile, FastAPI",20.0,40.1,Low Chance
5.8,OpenAI,"Rust, PyTorch, MySQL, Python, Tableau",28.57,18.8,Low Chance
5.3,IBM,"Spring Boot, Event-Driven Architecture, REST APIs, Ansible, Transformers, Grafana",0.0,10.5,Low Chance
6.3,Google,"Cypress, Serverless",0.0,11.1,Low Chance
8.0,Wipro,"Computer Vision, TensorFlow, Angular, Scrum, System Design, Snowflake, Vector Databases, Pandas, Java",20.0,45.9,Medium Chance
7.5,Infosys,"JWT, Communication, Unit Testing, PyTorch, MySQL, Python, NLP, Product Management, Redis, Java",60.0,60.9,Medium Chance
7.3,Wipro,"Event-Driven Architecture, Cloud, PostgreSQL, Neo4j, Cassandra, Java",40.0,50.3,Medium Chance
8.6,Microsoft,"Distributed Systems, C#, TypeScript, Azure, OpenCV, JavaScript, Microservices, TensorFlow, C++, System Design",85.71,80.6,High Chance
5.2,Google,"Jenkins, Scikit-Learn, Python, Terraform, Supabase, Unit Testing",14.29,12.9,Low Chance
6.8,IBM,"Distributed Systems, Machine Learning, C#, Ansible, Docker, Data Science, Hugging Face, System Design, Cassandra",33.33,46.2,Medium Chance
5.9,Infosys,"Prompt Engineering, C#, Prometheus, Airflow, NumPy, Algorithms",0.0,12.7,Low Chance
6.9,Apple,"TypeScript, Redis, Jenkins",0.0,11.1,Low Chance
7.7,Adobe,"JWT, OpenCV, TypeScript, Algorithms, PyTorch, React, C++",50.0,57.5,Medium Chance
6.0,Microsoft,"C#, ASP.NET, MySQL, PostgreSQL, Vue.js, C++, System Design, Product Management, Node.js, Power BI",42.86,27.9,Low Chance
7.7,Nvidia,"JWT, Event-Driven Architecture, Algorithms, PyTorch, Cypress, CUDA, React",42.86,37.9,Low Chance
7.1,Meta,"Communication, Algorithms, JavaScript, Python, React, Object-Oriented Programming, Airflow",57.14,38.5,Low Chance
5.7,Uber,"Leadership, Next.js, Agile, NumPy, Appium, Rust",0.0,8.6,Low Chance
9.2,Salesforce,"Machine Learning, SQL, Communication, gRPC, CI/CD, Cloud, Penetration Testing, Computer Vision, Django, System Design, ETL, Node.js, Java",66.67,79.0,High Chance
8.2,Accenture,"SQL, Communication, PHP, MySQL, Problem Solving, GCP, Elasticsearch, NLP",40.0,52.4,Medium Chance
9.4,Oracle,"SQL, REST APIs, Ruby, Docker, Cloud, PostgreSQL, Elasticsearch, RAG, Data Structures, Linux, Database Design, Snowflake, Spring Boot, Pandas, Java",100.0,94.9,High Chance
6.7,OpenAI,"Distributed Systems, Redux, Algorithms, Prisma, MySQL, LLMs, Python, Object-Oriented Programming, Grafana, Deep Learning",71.43,38.4,Low Chance
8.6,Wipro,"JWT, SQL, Communication, Next.js, AWS, Prompt Engineering, Cloud, Python, WebSockets, MongoDB, Object-Oriented Programming, Tailwind CSS, Cybersecurity, Flask, Spring Boot, Jest",80.0,79.1,High Chance
7.7,Wipro,"SQL, CI/CD, Supabase, WebSockets, Django",20.0,39.8,Low Chance
9.4,Stripe,"Distributed Systems, TypeScript, Ruby, PyTorch, Go, PostgreSQL, API Design, System Design",100.0,92.5,High Chance
8.5,Amazon,"TypeScript, NumPy, Ruby, Supabase, Leadership, Design Patterns, MySQL, Microservices, Data Structures, System Design, Apache Spark, Data Modeling, Node.js, Java",71.43,75.9,High Chance
7.3,OpenAI,"Transformers, NumPy, Algorithms, Prisma, LLMs, JavaScript, Power BI, Deep Learning",57.14,38.3,Low Chance
6.5,Nvidia,"PyTorch, Kotlin, PostgreSQL, Fine-Tuning, Python, Express.js, Django",28.57,24.7,Low Chance
8.1,TCS,"SQL, Algorithms, Team Collaboration, Problem Solving, Airflow, Scrum, Data Modeling, Appium, Redis, Agile, Java",80.0,77.8,High Chance
9.3,Accenture,"JWT, SQL, NumPy, Prisma, Team Collaboration, Cloud, Snowflake, Agile, Java",80.0,86.2,High Chance
8.5,Infosys,"Machine Learning, Communication, OAuth, Ruby, Rust, Web Development, Databricks, GCP, Snowflake, Deep Learning",40.0,51.6,Medium Chance
6.1,Google,"Apache Spark, Rust, Jest, Unit Testing",0.0,7.8,Low Chance
6.9,Infosys,"Kafka, Machine Learning, ETL",0.0,29.2,Low Chance
9.0,TCS,"Transformers, SQL, Algorithms, Team Collaboration, Neo4j, Problem Solving, JavaScript, Fine-Tuning, Go, Object-Oriented Programming, Grafana, Jest, Java",100.0,88.8,High Chance
8.4,Adobe,"Transformers, Algorithms, UI/UX, CI/CD, Unit Testing, Python, JavaScript, React, RAG, C++, Data Modeling, Jest, Power BI, Deep Learning",100.0,83.8,High Chance
6.5,Apple,"REST APIs, Hugging Face, Next.js, C#, Data Modeling",0.0,9.1,Low Chance
9.7,Netflix,"Distributed Systems, Transformers, AWS, Kafka, Python, Microservices, System Design, Java",100.0,96.2,High Chance
7.4,Stripe,"Ansible, LangChain, PostgreSQL, Go, API Design, System Design, Snowflake, Spring Boot",57.14,40.8,Low Chance
9.7,Microsoft,"Distributed Systems, Azure, C#, TypeScript, Prompt Engineering, Algorithms, Hugging Face, Kafka, C++, System Design, Product Management, NLP, Node.js, Airflow",85.71,87.9,High Chance
5.3,Accenture,"Ansible, Cypress, Rust, Cloud, WebSockets, Apache Spark, Linux",20.0,24.8,Low Chance
8.1,Oracle,"Azure, SQL, Java, Cloud, LLMs, Deep Learning, Vue.js, Critical Thinking, Vector Databases, Airflow",50.0,56.6,Medium Chance
7.5,Apple,"Ruby, Docker, Prometheus, Object-Oriented Programming, Data Structures, Swift, Redis, Power BI, Appium",33.33,33.2,Low Chance
7.2,Accenture,"SQL, Design Patterns, PostgreSQL, Data Modeling, Swift, Agile, Java",60.0,62.8,Medium Chance
7.5,Microsoft,"C#, Supabase, Cloud, Object-Oriented Programming, FastAPI",28.57,32.9,Low Chance
5.8,Uber,"NumPy, Design Patterns, System Design, Linux, FastAPI, Agile, Flask, Java",28.57,24.5,Low Chance
7.2,Oracle,"SQL, Cloud, MongoDB, Data Structures, Linux, ETL",66.67,60.5,Medium Chance
6.4,Infosys,"Express.js, Kotlin, Deep Learning, Kubernetes, Airflow, Supabase",0.0,19.8,Low Chance
8.6,Stripe,"PostgreSQL, System Design, R, Apache Spark, Terraform, Jenkins",28.57,55.2,Medium Chance
8.5,Uber,"Redux, Algorithms, Databricks, Go, Kafka, Spring Boot, Scrum, System Design, Terraform, MongoDB, ETL, Redis, Power BI, Java",85.71,84.7,High Chance
6.8,Apple,"DynamoDB, PHP, CI/CD, Penetration Testing, Deep Learning, Kafka, Python, Go, Vue.js, Appium",16.67,19.5,Low Chance
8.5,Nvidia,"DynamoDB, JWT, Algorithms, PyTorch, Docker, Unit Testing, Leadership, Kotlin, CUDA, Computer Vision, Python, Svelte, TensorFlow, React, Scrum, Deep Learning",85.71,86.6,High Chance
6.8,Oracle,"CI/CD, PHP, Agile, Prometheus, Java, Redis",16.67,20.6,Low Chance
7.7,Stripe,"Distributed Systems, C#, Redux, Ruby, PyTorch, Go, GCP, Tableau, Pandas, Power BI",42.86,40.7,Low Chance
5.8,Infosys,"Data Structures, Linux, React, Angular",0.0,7.3,Low Chance
9.1,TCS,"JWT, SQL, Team Collaboration, Penetration Testing, Problem Solving, JavaScript, Microservices, Airflow, Data Structures, Node.js, Java",100.0,89.1,High Chance
6.3,IBM,"Go, Object-Oriented Programming, GitHub Actions, Tailwind CSS",0.0,21.6,Low Chance
9.4,Salesforce,"TypeScript, REST APIs, SQL, Next.js, PHP, Algorithms, Team Collaboration, Cloud, Computer Vision, Critical Thinking, System Design, Tailwind CSS, Java",100.0,95.4,High Chance
8.4,Google,"Machine Learning, Azure, Algorithms, Cypress, Problem Solving, WebSockets, Svelte, Data Structures, C++, System Design, Tailwind CSS, GraphQL, Airflow",71.43,49.7,Medium Chance
6.0,Stripe,"Vue.js, OpenCV, MongoDB",0.0,10.4,Low Chance
8.6,Google,"TypeScript, OAuth, JWT, Algorithms, Python, Vue.js, Microservices, React, Data Structures, C++, System Design, Swift, Vector Databases",71.43,77.4,High Chance
6.2,Wipro,"SQL, Algorithms, Java, Supabase, Computer Vision, Python, RAG, Appium",60.0,46.0,Medium Chance
6.4,TCS,"Design Patterns, R, Hugging Face, Event-Driven Architecture, Deep Learning",0.0,12.1,Low Chance
9.0,Apple,"Machine Learning, SQL, REST APIs, Databricks, LLMs, Problem Solving, Python, Data Structures, C++, Operating Systems, Swift, Agile",100.0,91.7,High Chance
7.4,Accenture,"Docker, Team Collaboration, Cloud, Computer Vision, Linux, Agile",40.0,50.1,Medium Chance
7.2,Adobe,"Machine Learning, JWT, PHP, Communication, Algorithms, Ruby, SQL, JavaScript, React, Swift",50.0,42.8,Low Chance
8.0,Accenture,"TypeScript, SQL, Node.js, Prisma, Cloud, Neo4j, Problem Solving, LLMs, Terraform, Cybersecurity, R, Apache Spark, Snowflake, Tailwind CSS, Agile, Java",100.0,82.1,High Chance
7.1,Meta,"TypeScript, Redux, Leadership, Critical Thinking, React, System Design, Pytest, Serverless, Pandas",42.86,38.8,Low Chance
8.6,Accenture,"SQL, NumPy, Algorithms, Prisma, Docker, Cloud, Svelte, Python, Kubernetes, Jest, Agile, Flask",60.0,68.3,Medium Chance
8.3,Google,"Distributed Systems, Machine Learning, GitHub Actions, TypeScript, NumPy, Algorithms, Prisma, Cypress, Ruby, Python, GCP, Express.js, System Design, Cybersecurity, Snowflake, Node.js",71.43,44.8,Low Chance
8.7,Microsoft,"Distributed Systems, Azure, TypeScript, C#, Machine Learning, Cloud, Hugging Face, Neo4j, React, System Design, Vector Databases, Kubernetes, Airflow",85.71,80.5,High Chance
6.5,Oracle,"Python, GraphQL",0.0,10.2,Low Chance
8.9,Apple,"Machine Learning, JWT, Problem Solving, Vue.js, Django, Data Structures, Swift",50.0,62.3,Medium Chance
7.5,Wipro,"Machine Learning, OAuth, AWS, Rust, Cloud, Kotlin, Computer Vision, C++, Apache Spark, Java",40.0,48.5,Medium Chance
9.0,IBM,"Machine Learning, PHP, Ruby, CI/CD, Data Science, MySQL, Cloud, Critical Thinking, Airflow, R, Grafana, Vector Databases, Java",66.67,75.1,High Chance
